10,100
15,150
20,160
25,176
30,178
35,178
40,199
45,143
50,149
55,161
60,167
65,180
70,188
75,194
80,203
85,215
90,224
95,237
100,244
105,254
110,264
115,275
120,284
125,297
130,318
135,340
140,336
145,350
150,364
155,374
160,387
165,401
170,413
175,426
180,445
185,454
190,473
195,500
200,505
205,522
210,535
215,546
220,567
225,578
230,599
235,612
240,646
245,646
250,662
255,679
260,727
265,741
270,754
275,786
280,795
285,890
290,831
295,850
300,871
305,908
310,924
315,942
320,1044
325,985
330,1024
335,1037
340,1062
345,1168
350,1112
355,1140
360,1150
365,1234
370,1228
375,1235
380,1254
385,1290
390,1349
395,1340
400,1367
405,1425
410,1466
415,1467
420,1556
425,1635
430,1588
435,1606
440,1624
445,1719
450,1698
455,1720
460,1821
465,1776
470,1862
475,1859
480,1936
485,1985
490,1945
495,2047
500,1987
505,2083
510,2189
515,2314
